Surface Tension (N/m),Liquid Density (kg/m^3),Liquid Viscosity (Pa.s),Liquid Superficial Velocity (m/sec),Gas Superficial Velocity (m/sec),Pressure Drop (Pa)
0.0705,998.1541394090001,0.001,0.0493632372144,0.329088248604,-792.8974000000001
0.0705,998.1541394090001,0.001,0.0493632372144,0.9872647455072,-827.3712
0.0705,998.1541394090001,0.001,0.0493632372144,1.9745294910144,-758.4236000000001
0.0705,998.1541394090001,0.001,0.0493632372144,2.9617942362168,-758.4236000000001
0.0705,998.1541394090001,0.001,0.0493632372144,3.9490589832480003,-655.0022
0.0705,998.1541394090001,0.001,0.0493632372144,4.936323727536,-620.5284
0.0705,998.1541394090001,0.001,0.0493632372144,5.923588471824,-620.5284
0.0705,998.1541394090001,0.001,0.0493632372144,6.910853219160001,-620.5284
0.0705,998.1541394090001,0.001,0.0493632372144,9.318726115368001,-620.5284
0.0705,998.1541394090001,0.001,0.0493632372144,11.648407643448001,-620.5284
0.0705,998.1541394090001,0.001,0.0493632372144,13.978089171528,-620.5284
0.0705,998.1541394090001,0.001,0.0493632372144,16.307770699608,-620.5284
0.0705,998.1541394090001,0.001,0.0493632372144,18.637452230736002,-517.107
0.0705,998.1541394090001,0.001,0.0987264744288,0.329088248604,-723.9498
0.0705,998.1541394090001,0.001,0.0987264744288,0.9872647455072,-689.4760000000001
0.0705,998.1541394090001,0.001,0.0987264744288,1.9745294910144,-586.0546
0.0705,998.1541394090001,0.001,0.0987264744288,2.9617942362168,-551.5808000000001
0.0705,998.1541394090001,0.001,0.0987264744288,3.9490589832480003,-413.6856
0.0705,998.1541394090001,0.001,0.0987264744288,4.936323727536,-344.73800000000006
0.0705,998.1541394090001,0.001,0.0987264744288,5.923588471824,-310.2642
0.0705,998.1541394090001,0.001,0.0987264744288,6.910853219160001,-379.21180000000004
0.0705,998.1541394090001,0.001,0.0987264744288,9.318726115368001,-551.5808000000001
0.0705,998.1541394090001,0.001,0.0987264744288,11.648407643448001,-344.73800000000006
0.0705,998.1541394090001,0.001,0.0987264744288,13.978089171528,-344.73800000000006
0.0705,998.1541394090001,0.001,0.0987264744288,16.307770699608,-310.2642
0.0705,998.1541394090001,0.001,0.0987264744288,18.637452230736002,-310.2642
0.0705,998.1541394090001,0.001,0.148089711948,0.329088248604,-551.5808000000001
0.0705,998.1541394090001,0.001,0.148089711948,0.9872647455072,-551.5808000000001
0.0705,998.1541394090001,0.001,0.148089711948,1.9745294910144,68.94760000000001
0.0705,998.1541394090001,0.001,0.148089711948,2.9617942362168,241.31660000000002
0.0705,998.1541394090001,0.001,0.148089711948,3.9490589832480003,241.31660000000002
0.0705,998.1541394090001,0.001,0.148089711948,4.936323727536,275.79040000000003
0.0705,998.1541394090001,0.001,0.148089711948,5.923588471824,930.7926000000001
0.0705,998.1541394090001,0.001,0.148089711948,6.910853219160001,137.89520000000002
0.0705,998.1541394090001,0.001,0.148089711948,9.318726115368001,379.21180000000004
0.0705,998.1541394090001,0.001,0.148089711948,11.648407643448001,34.473800000000004
0.0705,998.1541394090001,0.001,0.148089711948,13.978089171528,310.2642
0.0705,998.1541394090001,0.001,0.148089711948,16.307770699608,241.31660000000002
0.0705,998.1541394090001,0.001,0.148089711948,18.637452230736002,310.2642
0.0705,998.1541394090001,0.001,0.1974529491624,0.329088248604,-551.5808000000001
0.0705,998.1541394090001,0.001,0.1974529491624,0.9872647455072,103.4214
0.0705,998.1541394090001,0.001,0.1974529491624,1.9745294910144,1206.5829999999999
0.0705,998.1541394090001,0.001,0.1974529491624,2.9617942362168,999.7402
0.0705,998.1541394090001,0.001,0.1974529491624,3.9490589832480003,1516.8472000000002
0.0705,998.1541394090001,0.001,0.1974529491624,4.936323727536,2344.2184
0.0705,998.1541394090001,0.001,0.1974529491624,5.923588471824,1999.4804
0.0705,998.1541394090001,0.001,0.1974529491624,6.910853219160001,1241.0568
0.0705,998.1541394090001,0.001,0.1974529491624,9.318726115368001,1378.9520000000002
0.0705,998.1541394090001,0.001,0.1974529491624,11.648407643448001,1758.1638
0.0705,998.1541394090001,0.001,0.1974529491624,13.978089171528,1172.1092
0.0705,998.1541394090001,0.001,0.1974529491624,16.307770699608,1310.0044
0.0705,998.1541394090001,0.001,0.1974529491624,18.637452230736002,1413.4258
0.0705,998.1541394090001,0.001,0.2468161863768,0.329088248604,379.21180000000004
0.0705,998.1541394090001,0.001,0.2468161863768,0.9872647455072,689.4760000000001
0.0705,998.1541394090001,0.001,0.2468161863768,1.9745294910144,930.7926000000001
0.0705,998.1541394090001,0.001,0.2468161863768,2.9617942362168,1551.3210000000001
0.0705,998.1541394090001,0.001,0.2468161863768,3.9490589832480003,2068.428
0.0705,998.1541394090001,0.001,0.2468161863768,4.936323727536,1516.8472000000002
0.0705,998.1541394090001,0.001,0.2468161863768,5.923588471824,1310.0044
0.0705,998.1541394090001,0.001,0.2468161863768,6.910853219160001,1965.0066
0.0705,998.1541394090001,0.001,0.2468161863768,9.318726115368001,1137.6354000000001
0.0705,998.1541394090001,0.001,0.2468161863768,11.648407643448001,2447.6398
0.0705,998.1541394090001,0.001,0.2468161863768,13.978089171528,1447.8996
0.0705,998.1541394090001,0.001,0.2468161863768,16.307770699608,1792.6376
0.0705,998.1541394090001,0.001,0.2468161863768,18.637452230736002,1689.2162
0.0705,998.1541394090001,0.001,0.29617942359120003,0.329088248604,275.79040000000003
0.0705,998.1541394090001,0.001,0.29617942359120003,0.9872647455072,344.73800000000006
0.0705,998.1541394090001,0.001,0.29617942359120003,1.9745294910144,827.3712
0.0705,998.1541394090001,0.001,0.29617942359120003,2.9617942362168,1965.0066
0.0705,998.1541394090001,0.001,0.29617942359120003,3.9490589832480003,2033.9542
0.0705,998.1541394090001,0.001,0.29617942359120003,4.936323727536,2826.8516
0.0705,998.1541394090001,0.001,0.29617942359120003,5.923588471824,2171.8494
0.0705,998.1541394090001,0.001,0.29617942359120003,6.910853219160001,1723.69
0.0705,998.1541394090001,0.001,0.29617942359120003,9.318726115368001,1689.2162
0.0705,998.1541394090001,0.001,0.29617942359120003,11.648407643448001,930.7926000000001
0.0705,998.1541394090001,0.001,0.29617942359120003,13.978089171528,2447.6398
0.0705,998.1541394090001,0.001,0.29617942359120003,16.307770699608,2895.7992
0.0705,998.1541394090001,0.001,0.29617942359120003,18.637452230736002,1930.5328000000002
0.0705,998.1541394090001,0.001,0.3455426608056,0.329088248604,344.73800000000006
0.0705,998.1541394090001,0.001,0.3455426608056,0.9872647455072,413.6856
0.0705,998.1541394090001,0.001,0.3455426608056,1.9745294910144,792.8974000000001
0.0705,998.1541394090001,0.001,0.3455426608056,2.9617942362168,1758.1638
0.0705,998.1541394090001,0.001,0.3455426608056,3.9490589832480003,3068.1682
0.0705,998.1541394090001,0.001,0.3455426608056,4.936323727536,2447.6398
0.0705,998.1541394090001,0.001,0.3455426608056,5.923588471824,3585.2752
0.0705,998.1541394090001,0.001,0.3455426608056,6.910853219160001,3481.8538000000003
0.0705,998.1541394090001,0.001,0.3455426608056,9.318726115368001,2171.8494
0.0705,998.1541394090001,0.001,0.3455426608056,11.648407643448001,3792.1180000000004
0.0705,998.1541394090001,0.001,0.3455426608056,13.978089171528,3171.5896000000002
0.0705,998.1541394090001,0.001,0.3455426608056,16.307770699608,3309.4848
0.0705,998.1541394090001,0.001,0.3455426608056,18.637452230736002,3930.0132
0.0705,998.1541394090001,0.001,0.3949058983248,0.329088248604,413.6856
0.0705,998.1541394090001,0.001,0.3949058983248,0.9872647455072,723.9498
0.0705,998.1541394090001,0.001,0.3949058983248,1.9745294910144,1965.0066
0.0705,998.1541394090001,0.001,0.3949058983248,2.9617942362168,2068.428
0.0705,998.1541394090001,0.001,0.3949058983248,3.9490589832480003,3378.4324
0.0705,998.1541394090001,0.001,0.3949058983248,4.936323727536,4102.3822
0.0705,998.1541394090001,0.001,0.3949058983248,5.923588471824,5171.07
0.0705,998.1541394090001,0.001,0.3949058983248,6.910853219160001,3447.38
0.0705,998.1541394090001,0.001,0.3949058983248,9.318726115368001,3137.1158
0.0705,998.1541394090001,0.001,0.3949058983248,11.648407643448001,2413.1659999999997
0.0705,998.1541394090001,0.001,0.3949058983248,13.978089171528,2516.5874
0.0705,998.1541394090001,0.001,0.3949058983248,16.307770699608,3792.1180000000004
0.0705,998.1541394090001,0.001,0.3949058983248,18.637452230736002,4067.9084
0.0705,998.1541394090001,0.001,0.44426913553920006,0.329088248604,586.0546
0.0705,998.1541394090001,0.001,0.44426913553920006,0.9872647455072,1413.4258
0.0705,998.1541394090001,0.001,0.44426913553920006,1.9745294910144,2275.2708000000002
0.0705,998.1541394090001,0.001,0.44426913553920006,2.9617942362168,2930.273
0.0705,998.1541394090001,0.001,0.44426913553920006,3.9490589832480003,2171.8494
0.0705,998.1541394090001,0.001,0.44426913553920006,4.936323727536,4757.3844
0.0705,998.1541394090001,0.001,0.44426913553920006,5.923588471824,4412.6464000000005
0.0705,998.1541394090001,0.001,0.44426913553920006,6.910853219160001,4688.4368
0.0705,998.1541394090001,0.001,0.44426913553920006,9.318726115368001,2585.535
0.0705,998.1541394090001,0.001,0.44426913553920006,11.648407643448001,3378.4324
0.0705,998.1541394090001,0.001,0.44426913553920006,13.978089171528,5757.1246
0.0705,998.1541394090001,0.001,0.44426913553920006,16.307770699608,4481.594
0.0705,998.1541394090001,0.001,0.44426913553920006,18.637452230736002,5102.1224
0.0705,998.1541394090001,0.001,0.4936323727536,0.329088248604,758.4236000000001
0.0705,998.1541394090001,0.001,0.4936323727536,0.9872647455072,1516.8472000000002
0.0705,998.1541394090001,0.001,0.4936323727536,1.9745294910144,1585.7948000000001
0.0705,998.1541394090001,0.001,0.4936323727536,2.9617942362168,1861.5852000000002
0.0705,998.1541394090001,0.001,0.4936323727536,3.9490589832480003,3481.8538000000003
0.0705,998.1541394090001,0.001,0.4936323727536,4.936323727536,3723.1704000000004
0.0705,998.1541394090001,0.001,0.4936323727536,5.923588471824,4619.4892
0.0705,998.1541394090001,0.001,0.4936323727536,6.910853219160001,3792.1180000000004
0.0705,998.1541394090001,0.001,0.4936323727536,9.318726115368001,3378.4324
0.0705,998.1541394090001,0.001,0.4936323727536,11.648407643448001,4378.1726
0.0705,998.1541394090001,0.001,0.4936323727536,13.978089171528,5515.808000000001
0.0705,998.1541394090001,0.001,0.4936323727536,16.307770699608,6653.4434
0.0705,998.1541394090001,0.001,0.4936323727536,18.637452230736002,4240.2774
0.0705,998.1541394090001,0.001,0.5497694010432,0.329088248604,723.9498
0.0705,998.1541394090001,0.001,0.5497694010432,0.9872647455072,965.2664000000001
0.0705,998.1541394090001,0.001,0.5497694010432,1.9745294910144,2206.3232000000003
0.0705,998.1541394090001,0.001,0.5497694010432,2.9617942362168,896.3188
